respuesta,emocion,pregunta,tokens,lemmas,texto_final
"Me sentí realmente feliz, muy emocionado de haber conseguido eso que tanto anhelaba porque sabía que era el fruto de mi esfuerzo y dedicación, estaba completamente convencido de que el haber logrado mi sueño era la oportunidad que tanto esperaba y que me desempeñaría en mi trabajo con amor y pasión, el conseguir ese logro me hacía sentirme mejor persona, alguien que seguía creciendo y mejorando tanto personal como profesionalmente.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['sentí', 'realmente', 'feliz', 'muy', 'emocionado', 'haber', 'conseguido', 'anhelaba', 'porque', 'sabía', 'fruto', 'esfuerzo', 'dedicación', 'completamente', 'convencido', 'haber', 'logrado', 'sueño', 'oportunidad', 'esperaba', 'desempeñaría', 'trabajo', 'amor', 'pasión', 'conseguir', 'logro', 'hacía', 'sentirme', 'mejor', 'persona', 'alguien', 'seguía', 'creciendo', 'mejorando', 'personal', 'profesionalmente']","['sentir', 'realmente', 'feliz', 'mucho', 'emocionado', 'haber', 'conseguir', 'anhelar', 'porque', 'saber', 'fruto', 'esfuerzo', 'dedicación', 'completamente', 'convencido', 'haber', 'lograr', 'sueño', 'oportunidad', 'esperar', 'desempeñar', 'trabajo', 'amor', 'pasión', 'conseguir', 'logro', 'hacer', 'sentir yo', 'mejor', 'persona', 'alguien', 'seguir', 'crecer', 'mejorar', 'personal', 'profesionalmente']",sentir realmente feliz mucho emocionado haber conseguir anhelar porque saber fruto esfuerzo dedicación completamente convencido haber lograr sueño oportunidad esperar desempeñar trabajo amor pasión conseguir logro hacer sentir yo mejor persona alguien seguir crecer mejorar personal profesionalmente
"Me contrataron en una empresa como desarrollador de software, me senti muy orgullosa y vi mis capacidades que tengo para brindar ya que anteriormente me sentía incapaz, pero con el paso del tiempo con disciplina he logrado avanzar tanto en conocimiento como en confianza en mi misma.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['contrataron', 'empresa', 'desarrollador', 'software', 'senti', 'muy', 'orgullosa', 'capacidades', 'brindar', 'anteriormente', 'sentía', 'incapaz', 'paso', 'tiempo', 'disciplina', 'logrado', 'avanzar', 'conocimiento', 'confianza', 'misma']","['contratar', 'empresa', 'desarrollador', 'software', 'senti', 'mucho', 'orgulloso', 'capacidad', 'brindar', 'anteriormente', 'sentir', 'incapaz', 'paso', 'tiempo', 'disciplina', 'logrado', 'avanzar', 'conocimiento', 'confianza', 'mismo']",contratar empresa desarrollador software senti mucho orgulloso capacidad brindar anteriormente sentir incapaz paso tiempo disciplina logrado avanzar conocimiento confianza mismo
Satisfacción y que con trabajo se logra todo,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['satisfacción', 'trabajo', 'logra']","['satisfacción', 'trabajo', 'lograr']",satisfacción trabajo lograr
"Gratificante, aprendí mucho y felicidad",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['gratificante', 'aprendí', 'mucho', 'felicidad']","['gratificante', 'aprender', 'mucho', 'felicidad']",gratificante aprender mucho felicidad
"Me sentí feliz y realizado, impacto mi vida haciéndome una persona más disciplinada",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['sentí', 'feliz', 'realizado', 'impacto', 'vida', 'haciéndome', 'persona', 'disciplinada']","['sentir', 'feliz', 'realizado', 'impacto', 'vida', 'haciéndomar', 'persona', 'disciplinado']",sentir feliz realizado impacto vida haciéndomar persona disciplinado
Sentí mucha satisfacción y casi todo el tiempo andaba feliz,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['sentí', 'mucha', 'satisfacción', 'casi', 'tiempo', 'andaba', 'feliz']","['sentir', 'mucho', 'satisfacción', 'casi', 'tiempo', 'andar', 'feliz']",sentir mucho satisfacción casi tiempo andar feliz
"Aprobar el examen de prepas BUAP, fue algo para lo que me preparé bastante y al final todo salió muy bien, y siento que hoy estoy aquí gracias a ese esfuerzo de la preparatoria",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['aprobar', 'examen', 'prepas', 'buap', 'preparé', 'bastante', 'final', 'salió', 'muy', 'bien', 'siento', 'hoy', 'aquí', 'gracias', 'esfuerzo', 'preparatoria']","['aprobar', 'examen', 'prepa', 'buap', 'preparé', 'bastante', 'final', 'salir', 'mucho', 'bien', 'sentir', 'hoy', 'aquí', 'gracias', 'esfuerzo', 'preparatorio']",aprobar examen prepa buap preparé bastante final salir mucho bien sentir hoy aquí gracias esfuerzo preparatorio
Pues fue satisfactoria,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['pues', 'satisfactoria']","['pues', 'satisfactorio']",pues satisfactorio
"Mucha felicidad, con ganas de lograr aún más metas.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['mucha', 'felicidad', 'ganas', 'lograr', 'aún', 'metas']","['mucho', 'felicidad', 'gana', 'lograr', 'aún', 'meta']",mucho felicidad gana lograr aún meta
"Muy agradeble, la experiencia fue de mucha paz y sentir que valio la pena cada cosa que hice para lograrlo, el impacto fue bastante, pues abrio muchas puertas en mi vida y me dio un campo mas amplio en este caso de mi aprendizaje.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['muy', 'agradeble', 'experiencia', 'mucha', 'paz', 'sentir', 'valio', 'pena', 'cada', 'cosa', 'hice', 'lograrlo', 'impacto', 'bastante', 'pues', 'abrio', 'muchas', 'puertas', 'vida', 'dio', 'campo', 'mas', 'amplio', 'caso', 'aprendizaje']","['mucho', 'agradeble', 'experiencia', 'mucho', 'paz', 'sentir', 'valio', 'penar', 'cada', 'cosa', 'hacer', 'lograr él', 'impacto', 'bastante', 'pues', 'abrir', 'mucho', 'puerta', 'vido', 'dar', 'campo', 'mas', 'amplio', 'caso', 'aprendizaje']",mucho agradeble experiencia mucho paz sentir valio penar cada cosa hacer lograr él impacto bastante pues abrir mucho puerta vido dar campo mas amplio caso aprendizaje
Satisfacción y pleno agradecimiento a Dios,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['satisfacción', 'pleno', 'agradecimiento', 'dios']","['satisfacción', 'pleno', 'agradecimiento', 'dio']",satisfacción pleno agradecimiento dio
Cuando entré a la universidad,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['cuando', 'entré', 'universidad']","['cuando', 'entré', 'universidad']",cuando entré universidad
Fue emocionante y me sentí orgullosa de mi,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['emocionante', 'sentí', 'orgullosa']","['emocionante', 'sentir', 'orgulloso']",emocionante sentir orgulloso
Cuando logré ingresar a la BUAP,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['cuando', 'logré', 'ingresar', 'buap']","['cuando', 'logré', 'ingresar', 'buap']",cuando logré ingresar buap
Logré ingresar a la universidad que deseaba. Fue una experiencia emocionante y me dio confianza en mis capacidades,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['logré', 'ingresar', 'universidad', 'deseaba', 'experiencia', 'emocionante', 'dio', 'confianza', 'capacidades']","['logré', 'ingresar', 'universidad', 'desear', 'experiencia', 'emocionante', 'dar', 'confianza', 'capacidad']",logré ingresar universidad desear experiencia emocionante dar confianza capacidad
pasar el examen de admision a la buap fue algo que me puso muy feliz y el impacto en mi vida fue vivir nuevas experiencias,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['pasar', 'examen', 'admision', 'buap', 'puso', 'muy', 'feliz', 'impacto', 'vida', 'vivir', 'nuevas', 'experiencias']","['pasar', 'examen', 'admision', 'buap', 'poner', 'mucho', 'feliz', 'impacto', 'vido', 'vivir', 'nuevo', 'experiencia']",pasar examen admision buap poner mucho feliz impacto vido vivir nuevo experiencia
"Entrar a la universidad soñada, fue una experiencia gratificante y orgullosa, y se podría decir que fue una pieza importante en mi vida",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['entrar', 'universidad', 'soñada', 'experiencia', 'gratificante', 'orgullosa', 'podría', 'decir', 'pieza', 'importante', 'vida']","['entrar', 'universidad', 'soñado', 'experiencia', 'gratificante', 'orgulloso', 'poder', 'decir', 'pieza', 'importante', 'vida']",entrar universidad soñado experiencia gratificante orgulloso poder decir pieza importante vida
