respuesta,emocion,pregunta
"Me sentí realmente feliz, muy emocionado de haber conseguido eso que tanto anhelaba porque sabía que era el fruto de mi esfuerzo y dedicación, estaba completamente convencido de que el haber logrado mi sueño era la oportunidad que tanto esperaba y que me desempeñaría en mi trabajo con amor y pasión, el conseguir ese logro me hacía sentirme mejor persona, alguien que seguía creciendo y mejorando tanto personal como profesionalmente.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Me contrataron en una empresa como desarrollador de software, me senti muy orgullosa y vi mis capacidades que tengo para brindar ya que anteriormente me sentía incapaz, pero con el paso del tiempo con disciplina he logrado avanzar tanto en conocimiento como en confianza en mi misma.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Satisfacción y que con trabajo se logra todo,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Gratificante, aprendí mucho y felicidad",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Me sentí feliz y realizado, impacto mi vida haciéndome una persona más disciplinada",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Sentí mucha satisfacción y casi todo el tiempo andaba feliz,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Aprobar el examen de prepas BUAP, fue algo para lo que me preparé bastante y al final todo salió muy bien, y siento que hoy estoy aquí gracias a ese esfuerzo de la preparatoria",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Pues fue satisfactoria,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Mucha felicidad, con ganas de lograr aún más metas.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Muy agradeble, la experiencia fue de mucha paz y sentir que valio la pena cada cosa que hice para lograrlo, el impacto fue bastante, pues abrio muchas puertas en mi vida y me dio un campo mas amplio en este caso de mi aprendizaje.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Satisfacción y pleno agradecimiento a Dios,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Cuando entré a la universidad,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue emocionante y me sentí orgullosa de mi,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Cuando logré ingresar a la BUAP,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Logré ingresar a la universidad que deseaba. Fue una experiencia emocionante y me dio confianza en mis capacidades,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
pasar el examen de admision a la buap fue algo que me puso muy feliz y el impacto en mi vida fue vivir nuevas experiencias,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Entrar a la universidad soñada, fue una experiencia gratificante y orgullosa, y se podría decir que fue una pieza importante en mi vida",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Inicialmente me sentí feliz y emocionado, con una sensación de superación personal, pero esos sentimientos duraron poco, al pasar de los minutos me comencé a sentir como si nada de lo que hice hubiera pasado",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
La experiencia fue muy emocionante y tuvo un gran impacto en mi vida porque gracias a eso me sentí aliviada y capaz,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Sentí un gran alivio y me di cuenta de que puedo lograr lo que sea si realmente me lo propongo.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Me siento más tranquilo por haber completado lo que me prometí.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Satisfactorio, cuando logro algo me siento en paz",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Feliz, realizada, es como perder el miedo de intentar otras cosas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Muy gratificante, ya que me ayudó a seguirme forjando en mi carrera",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Pues fue algo raro. La última vez que logré algo que en verdad deseaba momentos antes que lo obtuviera me sentía con muchos nervios y emoción y cuando lo obtuve solo fue como paz, satisfacción, no fue una alegría inmensa sino solo me sentí bien.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Satisfactorio porque era algo que quería desde hace años,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Me hizo sentir que aporte algo bueno,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue una buena experiencia, recuerdo que mis papás estaban muy felices de que pasé el examen de admisión a la Buap",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"La experiencia fue bastante impactante, porque recuerdo que entré al bachillerato 5 de mayo cuando solamente era mi unica opción y el haber logrado pasar todos los filtros de admisión y poder ser parte de ese plantel fue algo que de verdad me cabió nla vida y me cambió mucho la perspectiva en que actualmente veo el mundo",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Muy satisfactorio porque se siente muy bien poder conseguir una meta puesta a mediano o largo plazo,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Increíble, subió mucho mi autoestima y me mantuve motivado por unos meses",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue una experiencia con muchas emociones, principalmente emoción, felicidad. Impacto de forma positiva la manera de ver las cosas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue satisfactoria y motivacional para el futuro.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue satisfactoria, llena de felicidad y gratificante por todo el esfuerzo realizado",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Muy satisfactorio, me lleno de mucha alegría saber que tanto esfuerzo dedicado haya valido totalmente la pena y que se haya logrado el objetivo. Fue un impacto grande ya que determinada mucho mi futuro.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Muy feliz, emocionante",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue muy bonito y me motivó a echarle aún más ganas,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Felicidad,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Si, me sentí alegre con una emoción que no puedo describir, así como un peso menos y reflexionando lo que pase para lograrlo",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Suspire y seguí, sin mas, no me emociono realmente",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Creo que fue algo muy emocionante y me dio más seguridad en mis capacidades,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue una sensación de satisfacción aunque paso pronto, ya que tenia que enfocarme en otros temas, pero en su momento fue placentero el ver que había logrado lo que tenía propuesto",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue el día que compre mi primera laptop gamer con mi propio esfuerzo. Fue una de las más mejores sensaciones de satisfacción que eh presentado a lo largo de mi vida, pues usualmente soy una persona que se limita mucho con lo que quiere comprar por no tener el capital. 
Pero el hecho de en ese periodos de tiempo ahorrar y saber cómo cuidar mi dinero me llevo a poder conseguir mi pequeño artículo que tanto anhelaba de más pequeño.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Al quedar aceptado en la universidad me dió sentimiento de felicidad por el esfuerzo que realice durante mi trayectoria estudiantil,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Independizarme. Fue increíble lograrlo porque aprendí muchas cosas.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Una satisfacción enorme. El impacto fue que me sentí capas de lograr lo que sea cuando antes no era así.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Mucha alegría y una sensación de estar realizado y completo.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Recuerdo que hace un tiempo cundo apenas empezaba a programar, me enseñaban el lenguaje c++ y orientado a objetos, al inicio realmente me costaba mucho pero conforme avanzaba e investigaba me sentía cada vez más y más capaz. Al final del curso me dejaron un proyecto que logré concluir correctamente, eso hizo que tomara confianza en mi y que me sintiera más capaz en la carrera.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Me sentí muy bien, pero no tuvo gran impacto",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Cuando entré a la universidad. Sentí Un golpe de paz y sensación de plenitud. Pero después sentí que ese no podía ser mi tope y debía ir por más. Fue un cambio radical en mi vida,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Cuando fui a competir a Costa Rica en una competencia internacional de gimnasia artística varonil, y obtuve el primer lugar en el all around. Esta experiencia fue muy satisfactoria y me dio mucha alegría porque fue el fruto de todo mi esfuerzo deportivo, al igual que el apoyo que tuve de mucha gente sentí que valió la pena.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
fue agradable ver que el entrenamiento de todo el año rindió frutos al conseguir un campeonato tan importante pero fue al momento,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Las pocas cosas que realmente deseo son más a largo plazo entonces... Supongo que los factores o situaciones que he logrado para acercarme a esos deseos me han animado a seguir adelante tanto en la vida como en la continuidad de esos deseos,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue muy gratificante, me hizo entender que con esfuerzo y dedicación puedo lograr mis objetivos y que definitivamente es algo que quiero hacer constantemente.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue fantástico, múltiples sensaciones: felicidad, sosiego, autorrealización y paz. Podría decir que ha definido mi persona para mejor al saber que puedo alcanzar grandes cosas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Positivamente,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
